iter	Passed	Remaining
0	1	108
1	2	104
2	3	99
3	3	92
4	5	96
5	6	94
6	6	92
7	8	94
8	9	93
9	10	91
10	11	91
11	12	90
12	13	90
13	14	89
14	15	90
15	17	89
16	17	87
17	19	87
18	20	85
19	21	84
20	22	83
21	23	81
22	24	80
23	25	79
24	26	78
25	27	79
26	29	79
27	30	78
28	32	78
29	33	77
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	40	68
37	41	68
38	43	67
39	44	66
40	45	65
41	45	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	72	39
65	73	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	86	25
77	87	24
78	89	23
79	90	22
80	91	21
81	92	20
82	94	19
83	95	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	102	11
90	103	10
91	104	9
92	106	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
