iter	Passed	Remaining
0	142	142737
1	144	71883
2	145	48246
3	146	36410
4	147	29310
5	148	24581
6	149	21227
7	152	18902
8	153	16888
9	154	15296
10	155	13971
11	156	12854
12	156	11917
13	157	11096
14	158	10394
15	158	9772
16	159	9222
17	159	8728
18	160	8285
19	161	7892
20	161	7534
21	162	7206
22	162	6909
23	163	6634
24	163	6378
25	163	6141
26	164	5921
27	164	5718
28	165	5534
29	166	5397
30	167	5233
31	167	5077
32	168	4933
33	168	4796
34	169	4665
35	169	4543
36	170	4427
37	170	4316
38	170	4211
39	171	4112
40	171	4016
41	172	3927
42	172	3842
43	173	3759
44	173	3681
45	173	3605
46	174	3534
47	174	3464
48	175	3398
49	175	3334
50	176	3275
51	176	3216
52	176	3160
53	177	3104
54	177	3055
55	178	3007
56	178	2958
57	179	2910
58	179	2865
59	180	2821
60	180	2778
61	181	2749
62	182	2710
63	182	2673
64	183	2635
65	183	2598
66	183	2561
67	184	2528
68	184	2494
69	185	2461
70	185	2429
71	186	2398
72	186	2369
73	187	2340
74	187	2311
75	187	2283
76	188	2255
77	188	2230
78	189	2204
79	189	2180
80	189	2155
81	190	2133
82	190	2107
83	191	2084
84	191	2061
85	191	2039
86	192	2020
87	192	1999
88	193	1978
89	193	1958
90	194	1938
91	194	1920
92	194	1901
93	195	1883
94	195	1865
95	196	1847
96	198	1843
97	198	1827
98	198	1810
99	199	1796
100	199	1780
101	200	1764
102	200	1749
103	201	1733
104	201	1718
105	202	1703
106	202	1689
107	202	1675
108	203	1661
109	203	1648
110	204	1635
111	204	1622
112	204	1609
113	205	1596
114	205	1584
115	206	1571
116	206	1558
117	206	1546
118	207	1535
119	207	1524
120	208	1512
121	208	1500
122	208	1489
123	209	1478
124	209	1468
125	210	1457
126	210	1446
127	211	1438
128	211	1428
129	213	1426
130	213	1416
131	213	1406
132	214	1397
133	214	1388
134	215	1379
135	215	1370
136	216	1361
137	216	1352
138	217	1344
139	217	1336
140	217	1327
141	218	1318
142	218	1309
143	218	1301
144	219	1293
145	219	1285
146	220	1278
147	220	1270
148	221	1263
149	221	1256
150	222	1248
151	222	1241
152	223	1234
153	223	1228
154	224	1221
155	224	1214
156	225	1208
157	225	1201
158	225	1194
159	226	1187
160	226	1179
161	226	1173
162	227	1166
163	227	1161
164	228	1158
165	229	1151
166	229	1145
167	230	1140
168	230	1134
169	231	1128
170	231	1122
171	232	1117
172	232	1111
173	232	1105
174	233	1100
175	233	1094
176	234	1088
177	234	1083
178	234	1077
179	235	1072
180	235	1067
181	236	1062
182	236	1057
183	237	1052
184	237	1047
185	238	1042
186	238	1037
187	239	1032
188	239	1027
189	239	1022
190	240	1017
191	240	1013
192	241	1008
193	241	1004
194	242	1000
195	242	995
196	243	992
197	244	989
198	244	984
199	245	980
200	245	975
201	245	971
202	246	967
203	246	963
204	247	959
205	247	955
206	248	951
207	248	947
208	249	943
209	249	939
210	250	935
211	250	931
212	251	927
213	251	923
214	251	919
215	252	915
216	252	911
217	253	908
218	253	904
219	253	900
220	254	896
221	254	892
222	255	889
223	255	885
224	256	882
225	256	879
226	257	875
227	257	872
228	258	868
229	259	867
230	260	865
231	260	862
232	261	859
233	261	856
234	261	852
235	262	849
236	262	846
237	263	842
238	263	839
239	264	836
240	264	833
241	265	830
242	265	826
243	265	823
244	266	820
245	266	817
246	267	814
247	267	811
248	268	808
249	268	805
250	268	802
251	269	799
252	269	796
253	270	793
254	270	790
255	271	787
256	271	784
257	271	782
258	272	778
259	272	776
260	273	773
261	273	770
262	274	768
263	275	767
264	275	765
265	276	762
266	276	759
267	277	757
268	277	754
269	278	751
270	278	749
271	278	746
272	279	743
273	279	741
274	280	738
275	280	736
276	281	733
277	281	731
278	282	728
279	282	726
280	282	724
281	283	721
282	283	718
283	284	716
284	284	714
285	285	711
286	285	709
287	285	707
288	286	704
289	286	702
290	287	700
291	287	697
292	288	695
293	288	693
294	289	691
295	289	689
296	290	687
297	291	685
298	291	683
299	291	680
300	292	678
301	292	676
302	293	674
303	293	672
304	293	669
305	294	667
306	294	665
307	295	663
308	295	660
309	295	658
310	296	656
311	296	654
312	297	652
313	297	650
314	298	648
315	298	646
316	298	644
317	299	642
318	299	640
319	300	638
320	300	636
321	301	634
322	301	632
323	302	630
324	302	628
325	302	626
326	303	624
327	303	622
328	304	620
329	304	618
330	305	617
331	305	615
332	306	613
333	307	612
334	307	610
335	308	608
336	308	606
337	308	605
338	309	603
339	309	601
340	310	599
341	310	597
342	311	596
343	311	594
344	312	592
345	312	590
346	312	588
347	313	587
348	313	585
349	314	583
350	314	581
351	314	579
352	315	578
353	315	576
354	316	574
355	316	572
356	317	570
357	317	569
358	317	567
359	318	565
360	318	564
361	319	562
362	319	560
363	320	560
364	321	559
365	321	557
366	322	556
367	322	554
368	323	553
369	324	551
370	324	550
371	325	548
372	325	547
373	326	545
374	326	544
375	327	542
376	327	541
377	327	539
378	328	538
379	328	536
380	329	535
381	329	533
382	330	532
383	330	530
384	331	528
385	331	527
386	332	525
387	332	524
388	332	522
